MAC,ACTIVE_BEFORE
18-D6-C7-FA-CD-73,False
7C-8B-CA-78-FD-85,False
80-91-33-BA-ED-B1,False
9A-43-1D-CB-B2-C1,False 
DE-88-B8-1B-8B-18,False
14-AB-C5-BE-2F-B2,False
4A-D6-9A-96-61-06,False
64-5A-04-0F-40-AB,False
48-45-20-09-16-27,False
0C-9A-3C-B6-52-AB,False
3C-95-09-3B-42-0B,Fasle
2A-E3-33-B1-81-54,Fasle
6E-9F-E7-52-85-4D,Fasle
B6-94-81-64-33-80,Fasle
88-11-96-D9-BE-BA,Fasle
60-32-B1-AB-16-D3,Fasle
64-66-B3-6D-81-31,Fasle
24-69-68-EC-0D-B5,Fasle
C0-25-E9-D2-DB-65,Fasle
7C-8B-CA-41-C7-89,Fasle
A2-E2-9A-79-EE-9F,Fasle
1A-47-F3-AE-8A-5E,Fasle
E2-08-51-56-84-C6,Fasle
82-6C-29-F5-E0-7C,Fasle
C8-E2-65-B2-6C-9A,Fasle
18-1D-EA-FC-CC-EF,Fasle
2A-FC-AB-47-71-B1,Fasle
3C-9C-0F-64-AF-46,Fasle
82-82-E0-9C-31-E1,Fasle
1C-4D-70-99-28-43,Fasle
6E-12-D1-17-49-3C,Fasle
00-F4-8D-2C-58-3A,Fasle
9C-5C-8E-0E-85-9B,Fasle
96-C6-82-1F-11-08,Fasle
34-8A-7B-05-A3-16,Fasle
D4-AE-05-30-6C-D9,Fasle
A2-98-98-18-10-EC,Fasle
80-C5-F2-5C-83-39,Fasle
9C-2E-A1-97-9E-27,Fasle
E4-34-93-A7-F8-AC,Fasle
D0-7F-A0-15-54-63,Fasle
D0-B1-28-AC-67-09,Fasle
DC-F5-05-A5-5C-7D,Fasle
A8-0C-63-ED-79-E2,Fasle
7A-E8-C2-36-31-68,Fasle
D4-67-D3-AE-D5-47,Fasle
DC-1A-C5-FB-EA-A1,Fasle
0A-8E-7D-75-A2-4A,Fasle
A2-0A-ED-FD-EB-4C,Fasle
D0-C5-D3-0F-87-A1,Fasle
FA-2E-0F-4B-64-BA,Fasle
84-B5-41-3E-6F-92,Fasle
74-DF-BF-F8-D2-38,Fasle
1C-65-9D-A5-3A-DF,Fasle
AC-67-5D-44-46-B1,Fasle
8C-83-E1-A0-E9-04,Fasle
B6-16-13-D2-72-82,Fasle
C0-D3-C0-1D-D4-DF,Fasle
EA-36-46-E3-68-1F,Fasle
DC-66-72-54-3B-C5,Fasle
D2-90-06-9F-80-B9,Fasle
DC-F5-05-A5-5C-7D,Fasle
E8-D0-FC-62-31-DF,Fasle
80-ED-2C-B6-57-34,Fasle
AC-B5-7D-84-F8-4B,Fasle
4A-AC-8B-C6-FE-A9,Fasle
0C-C6-FD-8B-FC-69,Fasle
3C-9C-0F-64-AF-46,Fasle
96-C6-82-1F-11-08,Fasle
D8-5D-E2-F5-90-71,Fasle
2C-6D-C1-DB-EE-E9,Fasle
84-1B-77-01-29-EE,Fasle
7A-E8-C2-36-31-68,Fasle
82-82-E0-9C-31-E1,Fasle
3C-9C-0F-64-AF-46,Fasle
